Source,Target,Type,Id,Label,Weight
254,210,Directed,635,,1.0
62,210,Directed,636,,1.0
63,210,Directed,637,,1.0
273,210,Directed,638,,1.0
69,210,Directed,639,,1.0
73,210,Directed,640,,1.0
80,210,Directed,641,,1.0
308,210,Directed,642,,1.0
86,210,Directed,643,,1.0
225,210,Directed,644,,1.0
230,62,Directed,645,,1.0
231,62,Directed,646,,1.0
30,62,Directed,647,,1.0
32,62,Directed,648,,1.0
33,62,Directed,649,,1.0
40,62,Directed,650,,1.0
41,62,Directed,651,,1.0
43,62,Directed,652,,1.0
45,62,Directed,653,,1.0
49,62,Directed,654,,1.0
51,62,Directed,655,,1.0
53,62,Directed,656,,1.0
210,62,Directed,657,,1.0
63,62,Directed,658,,1.0
66,62,Directed,659,,1.0
69,62,Directed,660,,1.0
308,62,Directed,661,,1.0
90,62,Directed,662,,1.0
226,62,Directed,663,,1.0
0,63,Directed,664,,1.0
6,63,Directed,665,,1.0
230,63,Directed,666,,1.0
231,63,Directed,667,,1.0
30,63,Directed,668,,1.0
32,63,Directed,669,,1.0
41,63,Directed,670,,1.0
43,63,Directed,671,,1.0
45,63,Directed,672,,1.0
53,63,Directed,673,,1.0
210,63,Directed,674,,1.0
62,63,Directed,675,,1.0
69,63,Directed,676,,1.0
78,63,Directed,677,,1.0
80,63,Directed,678,,1.0
308,63,Directed,679,,1.0
225,63,Directed,680,,1.0
226,63,Directed,681,,1.0
98,63,Directed,682,,1.0
6,273,Directed,683,,1.0
10,273,Directed,684,,1.0
284,273,Directed,685,,1.0
21,273,Directed,686,,1.0
22,273,Directed,687,,1.0
26,273,Directed,688,,1.0
30,273,Directed,689,,1.0
31,273,Directed,690,,1.0
33,273,Directed,691,,1.0
40,273,Directed,692,,1.0
47,273,Directed,693,,1.0
53,273,Directed,694,,1.0
266,273,Directed,695,,1.0
57,273,Directed,696,,1.0
254,273,Directed,697,,1.0
210,273,Directed,698,,1.0
80,273,Directed,699,,1.0
308,273,Directed,700,,1.0
83,273,Directed,701,,1.0
225,273,Directed,702,,1.0
226,273,Directed,703,,1.0
97,273,Directed,704,,1.0
30,66,Directed,705,,1.0
40,66,Directed,706,,1.0
62,66,Directed,707,,1.0
308,66,Directed,708,,1.0
0,67,Directed,709,,1.0
4,67,Directed,710,,1.0
13,67,Directed,711,,1.0
17,67,Directed,712,,1.0
30,67,Directed,713,,1.0
32,67,Directed,714,,1.0
34,67,Directed,715,,1.0
266,67,Directed,716,,1.0
57,67,Directed,717,,1.0
58,67,Directed,718,,1.0
69,67,Directed,719,,1.0
