Id,Label,Country,Following,Followers,Tweets
581,@jimmyfallon,United_states,7793,50392803,10381
389,@chiellini,Italy,256,2325990,6127
214,@PSG_inside,France,103,6087819,46611
98,@LeVraiHoroscope,France,127,2846934,37659
602,@Diddy,United_states,1840,14287548,39798
544,@danieltosh,United_states,131,27581285,13670
561,@LeoDiCaprio,United_states,147,19066632,1142
596,@KevinHart4real,United_states,554,35156006,35525
494,@thebeatles,United_kingdom,366317,3621513,2695
201,@esmuellert_,Germany,235,3908001,614
637,@DANIROVIRA,Spain,282,2998133,14675
12,@TheVoice_TF1,France,786,1478600,16181
473,@rustyrockets,United_kingdom,366,12285175,10374
69,@nikosaliagas,France,57900,1711280,126774
395,@PromoMusic_it,Italy,2356,939252,18045
404,@gianluigibuffon,Italy,112,3050447,3473
58,@Paris,France,2206,1994754,25072
641,@mtvspain,Spain,813,3018022,32072
350,@SkyTG24,Italy,325,2987278,179424
288,@SPIEGELONLINE,Germany,292,2451888,157863
468,@Zoella,United_kingdom,527,12657557,42110
68,@FRANCE24,France,453,2967805,297902
628,@FCBarcelona_es,Spain,73,12949826,93269
178,@HSV,Germany,195,699779,24627
176,@Der_Postillon,Germany,187,680944,18359
413,@ClaMarchisio8,Italy,481,1930189,3778
618,@RyanSeacrest,United_states,561,17014806,13707
653,@auronplay,Spain,392,2479046,30695
349,@fabiocannavaro,Italy,385,1438213,3368
330,@OfficialASRoma,Italy,546,1546037,54829
584,@ABC,United_states,734,13337721,193778
549,@Zendaya,United_states,1749,12110710,58263
504,@GarethBale11,United_kingdom,113,16184936,1322
145,@Astro_Alex,Germany,102,951516,3990
717,@andresiniesta8,Spain,74,21146355,1646
79,@libe,France,196,2769864,141616
569,@neiltyson,United_states,43,11369235,5676
124,@ESL,Germany,258,869637,27035
632,@AnderHerrera,Spain,295,2208565,2189
361,@fattoquotidiano,Italy,7431,1884412,116054
82,@Mdelormeau,France,7526,2223705,21392
668,@DaniCarvajal92,Spain,360,3010314,2143
651,@AlejandroSanz,Spain,1538,18911170,28341
537,@selenagomez,United_states,1260,56241946,4339
109,@FCBayernEN,Germany,34,851625,35974
570,@KDTrey5,United_states,1457,17415997,23170
153,@zeitonline,Germany,33,2034999,131640
545,@chrisbrown,United_states,1,26321921,3980
337,@triomedusa,Italy,1397,1097486,17267
688,@3gerardpique,Spain,557,17582939,2521
244,@JB17Official,Germany,124,2263379,2181
273,@MisterVonline,France,602,4568832,13415
353,@AstroSamantha,Italy,849,996409,9850
23,@rolandgarros,France,484,1999898,34833
7,@VibePositiva,France,186,2300935,34952
364,@RaiNews,Italy,344,949330,193405
110,@ProSieben,Germany,28029,1988400,62700
1,@Nabilla,France,675,2672233,13452
687,@taniarin,Spain,1166,2262682,16265
483,@SkySports,United_kingdom,506,4665636,158344
591,@HillaryClinton,United_states,770,21453024,10038
408,@bonucci_leo19,Italy,249,1488771,3786
464,@MarcusButler,United_kingdom,494,3562421,18020
480,@jackwhitehall,United_kingdom,681,5896967,9078
100,@Andre_Schuerrle,Germany,154,1952790,1285
647,@diarioas,Spain,1111,2384687,249159
14,@JLMelenchon,France,5110,1759070,24953
440,@elliegoulding,United_kingdom,570,7355126,18962
417,@ligabue,Italy,5,2247980,3365
383,@jaxofficial,Italy,496,2168210,10640
195,@MissesVlog,Germany,99,794707,27118
347,@MediasetTgcom24,Italy,975,944354,118887
528,@aplusk,United_states,773,19034867,9794
225,@Cyrilhanouna,France,4638,5989645,7507
111,@KPBofficial,Germany,105,1628822,3357
606,@Usher,United_states,574,12794044,5658
585,@pitbull,United_states,2680,26980895,7470
392,@TizianoFerro,Italy,115,1311185,782
146,@Elyas_MBarek,Germany,245,929353,2432
198,@sex,Germany,741016,2029575,1025
671,@D_DeGea,Spain,192,10211394,1860
67,@Anne_Hidalgo,France,17128,1374522,61913
149,@Gronkh,Germany,405,1245950,19661
703,@JordiAlba,Spain,279,2062852,515
164,@sternde,Germany,375,1310759,113735
573,@tyrabanks,United_states,1103,15165857,8067
517,@BBCSport,United_kingdom,280,7192572,317253
463,@GaryBarlow,United_kingdom,4113,4486881,13177
680,@Torres,Spain,169,3609321,881
610,@SnoopDogg,United_states,2737,17837114,40641
141,@Paluten,Germany,264,1005347,5529
574,@ConanOBrien,United_states,1,28045314,3275
237,@swish41,Germany,524,3271515,1500
654,@19SCazorla,Spain,374,2067725,1190
510,@Schofe,United_kingdom,12758,4468025,33121
73,@tonyparker,France,120,2215125,2368
187,@halligalli,Germany,127,1403922,7260
59,@viedemerde,France,115,2419903,60166
194,@Bundesliga_DE,Germany,40,2092965,77274
505,@BBCBreaking,United_kingdom,3,36792977,33775
469,@guardian,United_kingdom,1109,7010749,407377
444,@michkeegan,United_kingdom,486,3739783,10685
593,@billmaher,United_states,42,10711027,3795
373,@Pirlo_official,Italy,14,2666850,299
37,@AFP,France,559,1386324,145699
409,@SkySport,Italy,1089,2327852,253111
32,@cauetofficiel,France,3231,2830733,73016
449,@GordonRamsay,United_kingdom,34216,6504781,20202
648,@enriqueiglesias,Spain,2811,14265211,5343
341,@Gerry_Scotti,Italy,202,1324117,8108
430,@ollyofficial,United_kingdom,2983,7861443,19723
420,@jamieoliver,United_kingdom,4379,7010997,25250
416,@vogue_italia,Italy,26,1131549,35880
140,@welt,Germany,222,1282922,279856
2,@KarlLagerfeld,France,62,1494380,1976
458,@SkySportsNews,United_kingdom,102,5829892,68920
279,@naosejatrouxa,France,152251,4510910,52353
707,@WillyrexYT,Spain,226,5056801,33985
466,@JohnBishop100,United_kingdom,493,3703264,9520
95,@Rue89,France,250,1585474,47049
501,@CherLloyd,United_kingdom,11190,7642348,5860
492,@BBCWorld,United_kingdom,85,22437100,272125
636,@JeseRodriguez10,Spain,101,2593354,1328
520,@BarackObama,United_states,625349,99311851,15493
123,@janboehm,Germany,862,1956343,15835
254,@NormanDesVideos,France,906,7134859,5382
616,@BrunoMars,United_states,109,40180126,4174
532,@funnyordie,United_states,6391,14378005,27036
129,@extra3,Germany,2029,693371,7669
538,@StephenAtHome,United_states,16,17341581,5430
565,@kourtneykardash,United_states,68,23554703,12474
660,@aLexBY11,Spain,107,4411470,22441
643,@ifilosofia,Spain,89799,2459077,53374
147,@thisiscro,Germany,255,1849902,4057
158,@dimakoslowski,Germany,55,713677,3962
682,@AbrahamMateo,Spain,269,2827292,23148
626,@marca,Spain,1613,4802650,281855
414,@Nesta,Italy,476,851721,615
646,@realmadrid,Spain,53,28730706,60247
44,@ECavaniOfficial,France,51,1580072,1668
621,@RafaelNadal,Spain,91,15216687,2585
64,@VogueParis,France,0,2538184,90849
670,@juanmata8,Spain,567,7345375,2617
199,@GermanLetsPlay,Germany,73,1382516,938
297,@patrickabrar,Germany,914,3446570,116
422,@themichaelowen,United_kingdom,790,3860222,13051
661,@BBVAworld,Spain,377,2721602,90103
20,@jeremstar,France,12,1985833,135810
379,@CrozzaTweet,Italy,71,1347614,6642
385,@SerieA_TIM,Italy,80,1126109,46379
418,@ValeYellow46,Italy,313,5543217,3974
665,@pabloalboran,Spain,2243,3717448,19329
624,@lorenzo99,Spain,711,1666218,11283
516,@JoshDevineDrums,United_kingdom,11201,3664697,10914
3,@PierreMenes,France,416,2434286,48720
62,@shymofficiel,France,284,2991380,15975
500,@JKCorden,United_kingdom,2182,10199253,11078
571,@KylieJenner,United_states,1162,24024886,12430
627,@El_Hormiguero,Spain,270,2369901,26379
382,@sattamelissa,Italy,276,1592161,8283
173,@Badstuber,Germany,209,880832,1138
514,@RitaOra,United_kingdom,1738,6717872,11577
33,@max_boublil,France,282,1481180,6186
590,@NBA,United_states,1674,27223224,186367
633,@officialpepe,Spain,6,3327437,148
714,@ElJuanpaZurita,Spain,2781,4251618,19361
543,@ShawnMendes,United_states,59868,17020912,14062
182,@TheRealLiont,Germany,874,1158188,17657
603,@wizkhalifa,United_states,829,32971360,43724
535,@kelly_clarkson,United_states,75,12273305,6562
705,@policia,Spain,0,3103386,23446
377,@JustElisabetta,Italy,355,1578887,12789
346,@delpieroale,Italy,48,2466104,8292
470,@AlanCarr,United_kingdom,708,5266036,16048
136,@siggismallz,Germany,94,1679578,9981
281,@BVB,Germany,928,3134717,69760
21,@palmashow,France,206,1376050,2625
334,@OfficialMonto,Italy,159,917599,1031
525,@PlayStation,United_states,799,15254889,25796
511,@edsheeran,United_kingdom,0,20397576,29301
333,@lorenzojova,Italy,997,3927421,14197
437,@WayneRooney,United_kingdom,444,16969232,2244
613,@mindykaling,United_states,819,11471338,16817
428,@jimmycarr,United_kingdom,321,6951334,3563
170,@LeFloid,Germany,148,1170182,11588
488,@lilyallen,United_kingdom,2051,5943950,28355
630,@el_pais,Spain,792,6528254,382719
