Episode_id,Location_id,NamedCharacters
42,51,c_montgomery_burns:waylon_smithers
42,10,waylon_smithers:homer_simpson
42,13,c_montgomery_burns:waylon_smithers
42,5,lisa_simpson:homer_simpson:bart_simpson
42,351,crypt_keeper_willie:homer_simpson:waylon_smithers:c_montgomery_burns
42,351,waylon_smithers:c_montgomery_burns
42,13,c_montgomery_burns:waylon_smithers:robot
42,5,tv_host:lisa_simpson:marge_simpson:bart_simpson
42,10,c_montgomery_burns:waylon_smithers
42,13,waylon_smithers:c_montgomery_burns
42,5,marge_simpson:homer_simpson:bart_simpson:c_montgomery_burns:tv_announcer
42,140,lisa_simpson:homer_simpson:c_montgomery_burns
43,498,lisa_simpson:homer_simpson
43,498,lisa_simpson:homer_simpson
43,15,homer_simpson:moe_szyslak
43,3,lunchlady_doris:groundskeeper_willie:seymour_skinner
43,15,homer_simpson:little_man
43,3,seymour_skinner:bart_simpson:bleeding_gums_murphy
43,15,homer_simpson:little_man:moe_szyslak
43,3,lisa_simpson:marge_simpson
43,499,little_man:homer_simpson
43,3,chuck:seymour_skinner:nelson_muntz:groundskeeper_willie
43,3,homer_simpson:seymour_skinner:lisa_simpson
43,347,teenager:homer_simpson:lisa_simpson
43,5,marge_simpson:baby_lisa:homer_simpson
43,501,salesclerk:homer_simpson
43,503,homer_simpson:millicent
43,504,homer_simpson:female_clerk:c_montgomery_burns:waylon_smithers
43,503,millicent:homer_simpson
43,5,lisa_simpson:marge_simpson:homer_simpson:bart_simpson:millicent:grampa_simpson
43,136,homer_simpson:apu_nahasapeemapetilon
43,503,kevin:ralph_wiggum
43,136,apu_nahasapeemapetilon:homer_simpson
43,140,homer_simpson:marge_simpson:bart_simpson
43,5,homer_simpson:bart_simpson:apu_nahasapeemapetilon:lisa_simpson:princess_kashmir:ned_flanders:marge_simpson
43,10,homer_simpson:lisa_simpson:johnny_carson:bart_simpson
43,273,homer_simpson:lisa_simpson:marge_simpson:bart_simpson
43,136,bart_simpson:homer_simpson
43,503,lisa_simpson:millicent
43,390,apu_nahasapeemapetilon:lisa_simpson:homer_simpson
44,5,announcer:homer_simpson:dr_nick_riviera:audience:bart_simpson:marge_simpson:patty_bouvier:selma_bouvier:lisa_simpson
44,505,homer_simpson:scoey:teenage_clerk:lisa_simpson
44,506,patty_bouvier:selma_bouvier:marge_simpson
44,5,football_announcer:marge_simpson:selma_bouvier:homer_simpson:bart_simpson:dave:gulliver_dark
44,5,dave:milhouse_van_houten:bart_simpson:martin_prince:homer_simpson
44,507,dave:homer_simpson:dave_jr
44,5,homer_simpson:bart_simpson:marge_simpson
44,216,homer_simpson:official:bart_simpson:martin_prince:nelson_muntz:voice_from_trunk:weasel_1
44,297,martin_prince:dr_julius_hibbert:bart_simpson
44,5,homer_simpson:bart_simpson:lisa_simpson
44,508,dr_julius_hibbert:martin_prince:homer_simpson
44,508,martin_prince:dr_julius_hibbert
44,5,bart_simpson:homer_simpson:marge_simpson:selma_bouvier:patty_bouvier:british_commentator:ned_flanders
44,509,barney_gumble:martin_prince:bart_simpson:homer_simpson:nelson_muntz:pa_announcer:mayor_joe_quimby:british_commentator:ronnie:marge_simpson
45,5,homer_simpson:kent_brockman:drederick:bart_simpson:janey:lisa_simpson:wanda:becky:girls
45,15,moe_szyslak:homer_simpson
45,5,homer_simpson:selma_bouvier
45,5,selma_bouvier:bart_simpson:homer_simpson:patty_bouvier
45,15,moe_szyslak:homer_simpson:larry:barney_gumble:harv:patron_1:patron_2:collette
45,3,martin_prince:edna_krabappel-flanders:bart_simpson:nelson_muntz:bernard:krusty_the_clown:photographer:mayor_joe_quimby:aide
45,5,lisa_simpson:marge_simpson:homer_simpson:bart_simpson
45,511,bernard:homer_simpson:moe_szyslak:aerosmith:steven_tyler:joe_perry:crowd:barney_gumble:brad_whitford:edna_krabappel-flanders:collette:bart_simpson:hugh:singers:everyone:bartender:harv
45,15,moe_szyslak:delivery_man
45,514,one-eyed_bartender:homer_simpson
45,25,kent_brockman:moe_szyslak
45,286,marge_simpson:lionel_hutz:homer_simpson
45,100,homer_simpson:marge_simpson
45,515,moe_szyslak:collette
45,140,homer_simpson:marge_simpson:bart_simpson:lisa_simpson:flowers
45,511,tom_hamilton:joey_kramer:edna_krabappel-flanders:harv:moe_szyslak:homer_simpson:barney_gumble
45,15,homer_simpson:moe_szyslak
46,51,waylon_smithers:c_montgomery_burns
46,517,waylon_smithers:c_montgomery_burns:snappy
46,10,homer_simpson:c_montgomery_burns:waylon_smithers
46,10,broker:homer_simpson
46,5,marge_simpson:scott_christian:bart_simpson
46,15,moe_szyslak:homer_simpson:hans:fritz
46,5,marge_simpson:bart_simpson:patty_bouvier:homer_simpson:selma_bouvier
46,10,carl_carlson:homer_simpson:charlie:lenny_leonard:worker:kent_brockman:c_montgomery_burns
46,203,waylon_smithers:c_montgomery_burns
46,10,c_montgomery_burns:mayor_joe_quimby:homer_simpson:marge_simpson:lenny_leonard:carl_carlson
46,518,carl_carlson:horst:homer_simpson:lenny_leonard
46,51,c_montgomery_burns:german_teacher:waylon_smithers
46,5,homer_simpson:lisa_simpson:marge_simpson:bart_simpson
46,10,homer_simpson:horst:fritz
46,10,horst:homer_simpson
46,10,homer_simpson:fritz:horst:carl_carlson:lenny_leonard
46,5,bart_simpson:marge_simpson:lisa_simpson:homer_simpson:jasper_beardly:grampa_simpson:waylon_smithers
46,53,c_montgomery_burns:waylon_smithers:boxer:horst
46,15,moe_szyslak:bart_simpson:barney_gumble
46,5,marge_simpson:bart_simpson
46,15,bart_simpson:moe_szyslak
46,15,bart_simpson:moe_szyslak:c_montgomery_burns:homer_simpson:waylon_smithers:barflies
46,10,hans:fritz:c_montgomery_burns:horst:waylon_smithers
47,5,marge_simpson:homer_simpson:bart_simpson:lisa_simpson
47,520,homer_simpson:mr_thorson
47,5,homer_simpson:bart_simpson:lisa_simpson
47,389,mother:selma_bouvier:marge_simpson:patty_bouvier
47,332,marge_simpson:homer_simpson
47,29,marge_simpson:homer_simpson
47,521,homer_simpson:marge_simpson
47,165,homer_simpson:charlie:angel:barney_gumble
47,41,marge_simpson:homer_simpson
47,306,dr_julius_hibbert:marge_simpson
47,522,grampa_simpson:homer_simpson
47,29,homer_simpson:marge_simpson
47,5,lisa_simpson:bart_simpson:homer_simpson
47,523,marge_simpson:homer_simpson:clerk
47,524,lunchlady_doris:homer_simpson
47,525,justice_of_the_peace:groom:marge_simpson:homer_simpson
47,525,justice_of_the_peace:marge_simpson:homer_simpson
47,526,marge_simpson:homer_simpson:patty_bouvier
47,389,homer_simpson:marge_simpson
47,10,waylon_smithers:applicant_1:applicant_2:applicants
47,10,waylon_smithers:applicant_1:applicant_2
47,10,homer_simpson:waylon_smithers
47,389,marge_simpson:homer_simpson:patty_bouvier
47,528,homer_simpson:tourist_kid:tourist_dad
47,527,boss:homer_simpson
47,529,elderly_lady:homer_simpson
47,530,homer_simpson:boss
47,518,speaker:homer_simpson
47,389,marge_simpson:homer_simpson:repo_man:patty_bouvier
47,5,lisa_simpson:homer_simpson:bart_simpson
47,389,marge_simpson:patty_bouvier
47,531,patty_bouvier:selma_bouvier
47,389,marge_simpson:selma_bouvier
47,10,homer_simpson:driver
47,389,selma_bouvier:marge_simpson
47,531,homer_simpson:marge_simpson
47,10,c_montgomery_burns:homer_simpson:waylon_smithers
47,10,homer_simpson:c_montgomery_burns:waylon_smithers
47,389,homer_simpson:mother
47,297,homer_simpson:patty_bouvier:marge_simpson:dr_julius_hibbert
47,334,marge_simpson:homer_simpson
47,5,homer_simpson:marge_simpson
48,5,homer_simpson:lisa_simpson:mc:tv_announcer:boy:teenager:executive
48,5,homer_simpson:marge_simpson:krusty_the_clown:bart_simpson
48,500,bart_simpson:teenage_clerk
48,533,bart_simpson:barber
48,534,bart_simpson:rosarita
48,535,bart_simpson:kids:weasel:robot_weasel:señor_beaver-otti:robot_animals:patty_bouvier:selma_bouvier:homer_simpson:marge_simpson:martin_prince
48,5,homer_simpson:bart_simpson:lisa_simpson:marge_simpson
48,43,marge_simpson:bart_simpson
48,5,homer_simpson:marge_simpson:bart_simpson:lisa_simpson
48,3,bart_simpson:milhouse_van_houten:nelson_muntz
48,5,bart_simpson:rod_flanders:todd_flanders
48,536,bart_simpson:groundskeeper_willie
48,5,homer_simpson:jasper_beardly:bart_simpson
48,537,bart_simpson:dave_shutton:seymour_skinner:crowd:kent_brockman:chief_wiggum:fat_cop
48,537,kent_brockman:falcon_man:sailor:professor_jonathan_frink
48,5,marge_simpson:bart_simpson:homer_simpson:lisa_simpson:kent_brockman:krusty_the_clown:sting:sideshow_mel:groundskeeper_willie:choir
48,537,souvenir_hawker:bernard
48,5,lisa_simpson:bart_simpson:station_announcer:kent_brockman:dr_marvin_monroe
48,537,lou:eddie:bart_simpson
48,5,lou:homer_simpson:eddie
48,537,homer_simpson:bart_simpson:mayor_joe_quimby:old_lady_1:marge_simpson:chief_wiggum
48,5,dr_julius_hibbert:groundskeeper_willie
48,537,kent_brockman:homer_simpson:marge_simpson:wanda:lisa_simpson:janey:dj:mayor_joe_quimby:dave_shutton:bart_simpson:groundskeeper_willie
48,5,kent_brockman:lisa_simpson:jasper_beardly:apu_nahasapeemapetilon:marge_simpson:sting:homer_simpson:bart_simpson
49,5,bret:homer_simpson:marge_simpson:jimmy
49,15,moe_szyslak:homer_simpson:chief_wiggum
49,15,football_announcer:homer_simpson:lisa_simpson
49,5,marge_simpson:lisa_simpson:bart_simpson:announcer:homer_simpson:jimmy:bret:sportscaster:professor_jonathan_frink:coach:moe_szyslak
49,463,krusty_the_clown:moe_szyslak
49,8,bart_simpson:marge_simpson
49,5,football_announcer_2:homer_simpson:lisa_simpson:marge_simpson
49,539,guard_1:guard_2
49,538,marge_simpson:bart_simpson
49,5,lisa_simpson:football_announcer_2:homer_simpson:marge_simpson:kearney_zzyzwicz:player:football_announcer
49,540,lisa_simpson:librarian
49,5,football_announcer:homer_simpson:lisa_simpson
49,15,homer_simpson:moe_szyslak
49,541,marge_simpson:homer_simpson:lisa_simpson:marco:bart_simpson
49,5,bret:jimmy:homer_simpson:lisa_simpson:moe_szyslak
49,15,moe_szyslak:barney_gumble:homer_simpson
49,3,ralph_wiggum:miss_hoover:lisa_simpson
49,5,lisa_simpson:homer_simpson:marge_simpson:box:bart_simpson
49,355,lisa_simpson:dealer
49,98,homer_simpson:lisa_simpson
49,5,marge_simpson:bret
49,543,ugolin:nutty_comedian:cesar
49,5,bart_simpson:homer_simpson
49,15,moe_szyslak:barney_gumble:homer_simpson:bret:troy_mcclure:football_announcer:larry
49,5,football_announcer:alien:lisa_simpson:bart_simpson
49,15,barflies:duff_announcer:moe_szyslak:barney_gumble:homer_simpson:football_announcer
49,131,rev_timothy_lovejoy:man
49,15,football_announcer:homer_simpson
49,5,bart_simpson:lisa_simpson
49,15,homer_simpson:moe_szyslak
49,544,lisa_simpson:homer_simpson
50,5,bart_simpson:homer_simpson:marge_simpson
50,5,marge_simpson:maggie_simpson:homer_simpson:lisa_simpson:bart_simpson
50,102,lisa_simpson:bart_simpson:marge_simpson
50,102,commercial_guy:bill:marty:man_on_phone:marge_simpson
50,548,lisa_simpson:bart_simpson:homer_simpson:marty:nick:marge_simpson
50,549,arnie_pye:eddie:chief_wiggum:lou:otto_mann:rival_gang_leader:krusty_the_clown:kent_brockman
50,547,homer_simpson:eddie:chief_wiggum:marge_simpson:nelson_muntz
50,192,policewoman:marge_simpson
50,550,chief_wiggum:mayor_joe_quimby
