Id, Name, Year, MinPlayers, MaxPlayers, MinPlayTime, MaxPlayTime, PlayingTime, NumOwned, Age,
2879, Encore, 1989, 2, 8, 45, 45, 45, 724, -1, 
2350, Eureka, 1988, 3, 6, 60, 60, 60, 732, -1, 
6708, Eureka!, 2002, 2, 4, 20, 20, 20, 132, -1, 
17705, Faces, 2003, 3, 8, 30, 30, 30, 419, -1, 
89898, Faux•Cabulary, 2011, 3, 7, -1, -1, -1, 397, -1, 
8921, Finder's Keepers, 1969, 2, 4, 20, 20, 20, 29, -1, 
4509, Funny Bones, 1968, 4, 8, 60, 60, 60, 368, -1, 
4123, Gambler, 1975, 2, 4, 45, 45, 45, 535, -1, 
17520, The Game of Crown and Anchor, 1850, 2, 12, 10, 10, 10, 115, -1, 
23964, The Game of Life (40th Anniversary Edition), 1999, 2, 6, 30, 30, 30, 642, -1, 
3606, The Game of Shakespeare, 1966, 1, 4, 60, 60, 60, 411, -1, 
2728, The Generals, 1980, 2, 2, 10, 10, 10, 331, -1, 
7270, GOLO, 1999, 1, -1, 10, 10, 10, 403, -1, 
32016, Gumball Rally, 2007, 3, 8, 20, 20, 20, 345, -1, 
9921, Headache, 1968, 2, 4, 20, 20, 20, 243, -1, 
11935, Ice Cream Scoops of Fun, 2000, 2, 4, 15, 15, 15, 21, -1, 
24443, Idol Quest, 2006, 2, 4, 30, 30, 30, 65, -1, 
336, Jumpin, 1964, 2, 2, 15, 15, 15, 702, -1, 
31144, Kahootz, 2007, 6, -1, 30, 30, 30, 20, -1, 
158268, Karma, 2014, 2, 6, 20, 20, 20, 487, -1, 
612, Kippit, 1999, 2, 2, 30, 30, 30, 237, -1, 
1677, Knightmare Chess 2, 1998, 2, 2, 60, 60, 60, 1239, -1, 
5919, Die Kürbiskopf-Bande, 2002, 2, 7, 20, 20, 20, 40, -1, 
3404, The Legend of Landlock, 1995, 2, 4, 20, 20, 20, 687, -1, 
10235, Lucky Shots Golf Board Game, -1, 2, 4, 45, 45, 45, 24, -1, 
1326, MacGregor, 1998, 2, 4, 30, 30, 30, 475, -1, 
6521, Magdar, 2003, 2, 4, 20, 20, 20, 976, -1, 
1319, Zauberberg, 2001, 2, 5, 30, 30, 30, 526, -1, 
85245, Magician's Kitchen, 2010, 2, 4, 20, 25, 25, 441, -1, 
19000, Marvel Trivia Game, 2003, 2, 6, 60, 60, 60, 78, -1, 
16052, Merlin, 1978, 1, 2, 1, 1, 1, 120, -1, 
6977, Mission Command Land, 2003, 2, 2, 60, 60, 60, 572, -1, 
6980, Mission Command Sea, 2003, 2, 2, 10, 10, 10, 664, -1, 
5758, Monopoly: Pokémon, 1995, 2, 6, 120, 120, 120, 1062, -1, 
18898, Munchkin Bites! 2: Pants Macabre, 2005, 3, 6, 90, 90, 90, 1961, -1, 
22948, Munchkin Impossible, 2006, 3, 6, 60, 120, 120, 2465, -1, 
13169, My First Rummikub, 1995, 2, 4, 30, 30, 30, 170, -1, 
1216, Mystery Garden, 1989, 2, 6, 30, 30, 30, 418, -1, 
69646, NBA Adrenalyn XL, 2010, 2, 2, 30, 30, 30, 6, -1, 
38880, NFL Fiki Football Extreme, -1, -1, -1, -1, -1, -1, 8, -1, 
19194, NFL Playoff, 1991, 2, 2, 30, 30, 30, 34, -1, 
4831, NFL Strategy, 1970, 2, 2, 150, 150, 150, 371, -1, 
97565, Nines, -1, 2, 10, 15, 15, 15, 7, -1, 
8624, Outburst Bible Edition, 1989, 2, 20, 90, 90, 90, 158, -1, 
1147, Outrage! Steal the Crown Jewels, 1992, 2, 6, 45, 45, 45, 725, -1, 
23270, Paddle Pool, 1970, 2, 4, 10, 10, 10, 40, -1, 
3723, Peanut Butter & Jelly Card Game, 1971, 2, 4, 20, 20, 20, 120, -1, 
38558, Pogs, 1920, 2, -1, -1, 5, 5, 130, -1, 
4788, Quad-Ominos, 1978, 2, 8, 60, 60, 60, 236, -1, 
360, Quests of the Round Table, 1995, 2, 4, 60, 60, 60, 730, -1, 
2366, Quinto, 1964, 2, 4, 30, 30, 30, 813, -1, 
1211, Race Through Space, 1988, 2, 4, 15, 15, 15, 439, -1, 
2814, Rapid Recall, 1993, 4, 100, 20, 20, 20, 224, -1, 
4950, Road Block, 2001, 2, 4, 20, 20, 20, 14, -1, 
167604, Rollet, 2014, 4, 4, 10, 10, 10, 94, -1, 
3656, Score Four, 1967, 2, 4, 30, 30, 30, 1279, -1, 
1835, Scrutineyes, 1992, 2, 8, 30, 30, 30, 617, -1, 
40440, Sector 41, 2009, 2, 4, 90, 90, 90, 263, -1, 
6381, Sequence for Kids, 2001, 2, 4, 20, 20, 20, 892, -1, 
38821, Settlers of Catan: Gallery Edition, 2008, 3, 4, 60, 60, 60, 1706, -1, 
65889, Seven Card Samurai, 2010, 2, 8, 30, 30, 30, 336, -1, 
22060, Sinbad, 1977, 2, 4, 30, 30, 30, 16, -1, 
3276, Skittles, 1801, 2, 4, 30, 30, 30, 152, -1, 
3425, Skunk, 1953, 2, 8, 30, 30, 30, 141, -1, 
18905, Slap Jack, 1934, 2, 8, 30, 30, 30, 116, -1, 
5468, Snap: The Interlocking Dragon-Making Game, 2002, 1, 4, 20, 20, 20, 502, -1, 
9951, Snoopy and the Red Baron, 1970, 2, 2, 10, 10, 10, 52, -1, 
3958, Songburst: 70's & 80's Edition, 1992, 3, -1, 30, 30, 30, 243, -1, 
2331, Spill and Spell, 1956, 1, 10, 20, 20, 20, 405, -1, 
22571, Spit!, 2004, 2, 2, 15, 15, 15, 78, -1, 
37849, Star Wars Galactic Heroes Game, 2008, 2, 2, 15, 15, 15, 100, -1, 
2855, Stare!, 1999, 2, 10, 60, 60, 60, 343, -1, 
4310, Sting, 1984, 2, 6, 20, 20, 20, 280, -1, 
6121, Tablut, 1700, 2, 2, 45, 45, 45, 227, -1, 
4558, Take Off!, 1987, 2, 6, 60, 60, 60, 276, -1, 
25110, Team Out! Baseball, 1996, 2, 6, 30, 30, 30, 11, -1, 
2841, Tennis, 1975, 2, 4, 45, 45, 45, 273, -1, 
13126, Tetris Tower 3D, 2003, 1, 2, 5, 5, 5, 159, -1, 
3540, Tic Tac Chec, 2008, 2, 2, 10, 10, 10, 167, -1, 
24998, Tiki Mountain!, 2007, 2, 6, 60, 60, 60, 457, -1, 
10459, Tilt'n Tumble, 1997, 2, 2, 10, 10, 10, 84, -1, 
6898, Toss Across, 1969, 2, 6, 20, 20, 20, 109, -1, 
9765, Toy Story Toys Away, 1996, 2, 4, 20, 20, 20, 9, -1, 
32146, Trailer Park Wars, 2007, 2, 6, 60, -1, 60, 830, -1, 
14436, Travel TriBond, 1994, 2, 4, -1, -1, -1, 46, -1, 
2352, Treasure Quest, 1996, 2, 2, 20, 20, 20, 189, -1, 
7299, Trivial Pursuit Mini Pack: War & Victory, 1987, 2, 6, 90, 90, 90, 40, -1, 
12443, Trivial Pursuit Video: Sports Edition, 1995, 2, 6, -1, -1, -1, 3, -1, 
5661, Trivial Pursuit: 1960's Edition, 1990, 2, 6, 90, 90, 90, 136, -1, 
19466, Trivial Pursuit: 1980s, 2000, 2, 24, 40, 40, 40, 247, -1, 
