Juego,R1, P1, R2, P2, R3, P3, R4, P4, R5, P5, R6, P6, R7, P7, R8, P8, R9, P9, R10, P10
30549, 224316, 8.0, 28143, 7.0, 164928, 6.0, 203420, 6.0, 84876, 6.0, 205059, 6.0, 178900, 6.0, 822, 6.0, 172818, 6.0, 147020, 6.0, 
2511, 224316, 6.0, 3076, 5.0, 84876, 5.0, 178900, 5.0, 205059, 4.0, 119788, 4.0, 244992, 4.0, 110327, 4.0, 173090, 4.0, 169786, 4.0, 
147020, 178900, 7.0, 28143, 6.0, 176396, 6.0, 157354, 6.0, 30549, 6.0, 224316, 6.0, 3076, 5.0, 107529, 5.0, 163968, 5.0, 147151, 5.0, 
182631, 147020, 1.0, 2511, 1.0, 30549, 1.0, 181304, 1.0, 178900, 1.0, 822, 1.0, 198452, 1.0, 10547, 1.0, 172818, 1.0, 213460, 1.0, 
213460, 224316, 10.0, 84876, 7.0, 28143, 7.0, 822, 7.0, 163412, 6.0, 73439, 6.0, 144344, 6.0, 136888, 6.0, 228867, 6.0, 126163, 6.0, 
224316, 84876, 10.0, 213460, 10.0, 28143, 9.0, 230802, 9.0, 2651, 8.0, 34635, 8.0, 146508, 8.0, 3076, 8.0, 157354, 8.0, 68448, 8.0, 
229265, 171623, 2.0, 183394, 2.0, 128621, 2.0, 12333, 2.0, 102680, 2.0, 25613, 2.0, 120677, 2.0, 146508, 2.0, 169786, 2.0, 144733, 2.0, 
173346, 68448, 7.0, 180263, 6.0, 84876, 6.0, 157354, 6.0, 28143, 6.0, 230802, 5.0, 213460, 5.0, 224316, 5.0, 822, 5.0, 123260, 5.0, 
218417, 191189, 4.0, 180263, 4.0, 185343, 4.0, 84876, 4.0, 178900, 4.0, 245638, 4.0, 225694, 4.0, 157354, 4.0, 193738, 4.0, 122515, 4.0, 
161970, 239188, 5.0, 178900, 5.0, 157354, 5.0, 3076, 5.0, 28143, 5.0, 230802, 4.0, 147151, 4.0, 163968, 4.0, 107529, 4.0, 176396, 4.0, 
124742, 66362, 4.0, 126163, 4.0, 213460, 4.0, 224316, 4.0, 31260, 4.0, 84876, 4.0, 216132, 4.0, 157354, 4.0, 193738, 4.0, 122515, 4.0, 
155068, 180263, 2.0, 173346, 2.0, 68448, 2.0, 170216, 2.0, 84876, 2.0, 102794, 2.0, 171, 2.0, 201808, 2.0, 224037, 2.0, 198773, 2.0, 
179803, 155068, 1.0, 124742, 1.0, 185343, 1.0, 161970, 1.0, 31260, 1.0, 218417, 1.0, 191189, 1.0, 180263, 1.0, 173346, 1.0, 68448, 1.0, 
205637, 205059, 4.0, 191189, 4.0, 180263, 4.0, 84876, 4.0, 178900, 4.0, 245638, 4.0, 157354, 4.0, 193738, 4.0, 122515, 4.0, 140620, 4.0, 
154825, 205637, 1.0, 179803, 1.0, 155068, 1.0, 124742, 1.0, 185343, 1.0, 161970, 1.0, 31260, 1.0, 218417, 1.0, 191189, 1.0, 180263, 1.0, 
10093, 154825, 1.0, 205637, 1.0, 179803, 1.0, 155068, 1.0, 124742, 1.0, 185343, 1.0, 161970, 1.0, 31260, 1.0, 218417, 1.0, 191189, 1.0, 
98, 10093, 1.0, 154825, 1.0, 205637, 1.0, 179803, 1.0, 155068, 1.0, 124742, 1.0, 185343, 1.0, 161970, 1.0, 31260, 1.0, 218417, 1.0, 
37111, 124742, 2.0, 31260, 2.0, 28720, 2.0, 84876, 2.0, 102794, 2.0, 18602, 2.0, 201808, 2.0, 216132, 2.0, 245638, 2.0, 124361, 2.0, 
212445, 37111, 1.0, 98, 1.0, 10093, 1.0, 154825, 1.0, 205637, 1.0, 179803, 1.0, 155068, 1.0, 124742, 1.0, 185343, 1.0, 161970, 1.0, 
712, 212445, 1.0, 37111, 1.0, 98, 1.0, 10093, 1.0, 154825, 1.0, 205637, 1.0, 179803, 1.0, 155068, 1.0, 124742, 1.0, 185343, 1.0, 
15985, 712, 1.0, 212445, 1.0, 37111, 1.0, 98, 1.0, 10093, 1.0, 154825, 1.0, 205637, 1.0, 179803, 1.0, 155068, 1.0, 124742, 1.0, 
170216, 68448, 5.0, 84876, 5.0, 36218, 5.0, 157354, 5.0, 28143, 5.0, 54043, 4.0, 108745, 4.0, 121921, 4.0, 148228, 4.0, 123260, 4.0, 
224517, 31260, 3.0, 191189, 3.0, 180263, 3.0, 173346, 3.0, 68448, 3.0, 28720, 3.0, 84876, 3.0, 102794, 3.0, 18602, 3.0, 216132, 3.0, 
28720, 31260, 6.0, 84876, 6.0, 102794, 6.0, 216132, 6.0, 122515, 6.0, 70149, 6.0, 2651, 6.0, 73439, 5.0, 126163, 5.0, 18602, 5.0, 
171131, 170216, 2.0, 161970, 2.0, 180263, 2.0, 173346, 2.0, 68448, 2.0, 84876, 2.0, 239188, 2.0, 178900, 2.0, 224037, 2.0, 156129, 2.0, 
84876, 224316, 10.0, 157354, 10.0, 28143, 10.0, 34635, 9.0, 164928, 9.0, 2651, 9.0, 171623, 9.0, 230802, 8.0, 176494, 8.0, 822, 8.0, 
102794, 84876, 7.0, 2651, 7.0, 28720, 6.0, 31260, 6.0, 216132, 6.0, 124361, 6.0, 157354, 6.0, 122515, 6.0, 70149, 6.0, 28143, 6.0, 
18602, 31260, 6.0, 2651, 6.0, 28143, 6.0, 34635, 5.0, 9216, 5.0, 19857, 5.0, 102794, 5.0, 84876, 5.0, 28720, 5.0, 68448, 5.0, 
218479, 18602, 2.0, 102794, 2.0, 84876, 2.0, 28720, 2.0, 224517, 2.0, 185343, 2.0, 31260, 2.0, 218417, 2.0, 191189, 2.0, 180263, 2.0, 
43111, 18602, 2.0, 102794, 2.0, 84876, 2.0, 28720, 2.0, 224517, 2.0, 170216, 2.0, 205637, 2.0, 31260, 2.0, 191189, 2.0, 180263, 2.0, 
171, 102794, 2.0, 84876, 2.0, 170216, 2.0, 155068, 2.0, 180263, 2.0, 173346, 2.0, 68448, 2.0, 201808, 2.0, 224037, 2.0, 198773, 2.0, 
216132, 84876, 7.0, 157354, 7.0, 126163, 6.0, 102794, 6.0, 28720, 6.0, 31260, 6.0, 68448, 6.0, 122515, 6.0, 70149, 6.0, 2651, 6.0, 
224037, 180263, 5.0, 173346, 5.0, 68448, 5.0, 157354, 5.0, 28143, 5.0, 230802, 4.0, 107529, 4.0, 199561, 4.0, 178900, 4.0, 84876, 4.0, 
198773, 102794, 4.0, 84876, 4.0, 180263, 4.0, 173346, 4.0, 68448, 4.0, 36218, 4.0, 157354, 4.0, 193738, 4.0, 2651, 4.0, 28143, 4.0, 
245638, 84876, 7.0, 157354, 7.0, 122515, 7.0, 70149, 7.0, 164928, 7.0, 28143, 7.0, 171623, 7.0, 73439, 6.0, 126163, 6.0, 178900, 6.0, 
124361, 84876, 7.0, 2651, 7.0, 102794, 6.0, 34635, 5.0, 16747, 5.0, 224316, 5.0, 216132, 5.0, 28720, 5.0, 31260, 5.0, 39856, 5.0, 
39463, 18602, 4.0, 31260, 4.0, 172, 4.0, 2651, 4.0, 28143, 4.0, 9216, 3.0, 34635, 3.0, 478, 3.0, 822, 3.0, 10630, 3.0, 
170624, 39463, 1.0, 124361, 1.0, 245638, 1.0, 198773, 1.0, 224037, 1.0, 178900, 1.0, 216132, 1.0, 201808, 1.0, 239188, 1.0, 171, 1.0, 
