Juego,R1, P1, R2, P2, R3, P3, R4, P4, R5, P5, R6, P6, R7, P7, R8, P8, R9, P9, R10, P10
253284, 167791, 3.0, 120677, 3.0, 34119, 3.0, 133473, 3.0, 147020, 3.0, 40692, 3.0, 108745, 3.0, 372, 3.0, 169426, 3.0, 121921, 3.0, 
31627, 14996, 6.0, 27173, 6.0, 34635, 5.0, 40692, 5.0, 161417, 5.0, 170042, 5.0, 28143, 5.0, 8217, 5.0, 3076, 5.0, 25554, 5.0, 
67180, 31627, 2.0, 253284, 2.0, 14996, 2.0, 21790, 2.0, 215341, 2.0, 142961, 2.0, 188920, 2.0, 114387, 2.0, 226322, 2.0, 167791, 2.0, 
131325, 31627, 4.0, 14996, 4.0, 161417, 4.0, 170042, 4.0, 176494, 4.0, 171623, 4.0, 157354, 4.0, 84876, 4.0, 245934, 4.0, 144592, 4.0, 
145189, 131325, 4.0, 31627, 4.0, 14996, 4.0, 161417, 4.0, 170042, 4.0, 176494, 4.0, 171623, 4.0, 157354, 4.0, 84876, 4.0, 245934, 4.0, 
99975, 145189, 3.0, 131325, 3.0, 31627, 3.0, 14996, 3.0, 161417, 3.0, 170042, 3.0, 176494, 3.0, 171623, 3.0, 157354, 3.0, 84876, 3.0, 
163967, 145189, 2.0, 131325, 2.0, 67180, 2.0, 31627, 2.0, 253284, 2.0, 14996, 2.0, 21790, 2.0, 215341, 2.0, 142961, 2.0, 188920, 2.0, 
175495, 31627, 3.0, 14996, 3.0, 21790, 3.0, 167791, 3.0, 24508, 3.0, 133473, 3.0, 112192, 3.0, 162007, 3.0, 121410, 3.0, 171226, 3.0, 
215463, 123540, 2.0, 42215, 2.0, 175495, 2.0, 163967, 2.0, 145189, 2.0, 131325, 2.0, 67180, 2.0, 31627, 2.0, 253284, 2.0, 14996, 2.0, 
160409, 192135, 2.0, 215463, 2.0, 123540, 2.0, 42215, 2.0, 175495, 2.0, 163967, 2.0, 145189, 2.0, 131325, 2.0, 67180, 2.0, 31627, 2.0, 
191877, 160409, 2.0, 192135, 2.0, 215463, 2.0, 123540, 2.0, 42215, 2.0, 175495, 2.0, 163967, 2.0, 145189, 2.0, 131325, 2.0, 67180, 2.0, 
173092, 121408, 1.0, 105037, 1.0, 191877, 1.0, 160409, 1.0, 192135, 1.0, 215463, 1.0, 123540, 1.0, 42215, 1.0, 175495, 1.0, 163967, 1.0, 
163068, 105037, 3.0, 123540, 3.0, 175495, 3.0, 31627, 3.0, 14996, 3.0, 21790, 3.0, 167791, 3.0, 24508, 3.0, 133473, 3.0, 112192, 3.0, 
104377, 73439, 2.0, 163068, 2.0, 121408, 2.0, 105037, 2.0, 191877, 2.0, 160409, 2.0, 192135, 2.0, 215463, 2.0, 123540, 2.0, 42215, 2.0, 
124172, 121408, 3.0, 123540, 3.0, 253284, 3.0, 167791, 3.0, 120677, 3.0, 34119, 3.0, 133473, 3.0, 147020, 3.0, 40692, 3.0, 108745, 3.0, 
941, 124172, 2.0, 104377, 2.0, 73439, 2.0, 163068, 2.0, 121408, 2.0, 105037, 2.0, 191877, 2.0, 160409, 2.0, 192135, 2.0, 215463, 2.0, 
126239, 73439, 3.0, 163068, 3.0, 105037, 3.0, 123540, 3.0, 175495, 3.0, 31627, 3.0, 14996, 3.0, 21790, 3.0, 167791, 3.0, 24508, 3.0, 
234621, 126239, 2.0, 941, 2.0, 124172, 2.0, 104377, 2.0, 73439, 2.0, 163068, 2.0, 121408, 2.0, 105037, 2.0, 191877, 2.0, 160409, 2.0, 
723, 191876, 2.0, 126163, 2.0, 234621, 2.0, 126239, 2.0, 941, 2.0, 124172, 2.0, 104377, 2.0, 73439, 2.0, 163068, 2.0, 121408, 2.0, 
204605, 723, 2.0, 191876, 2.0, 126163, 2.0, 234621, 2.0, 126239, 2.0, 941, 2.0, 124172, 2.0, 104377, 2.0, 73439, 2.0, 163068, 2.0, 
128698, 224316, 2.0, 213460, 2.0, 204605, 2.0, 723, 2.0, 191876, 2.0, 126163, 2.0, 234621, 2.0, 126239, 2.0, 941, 2.0, 124172, 2.0, 
170416, 41002, 2.0, 128698, 2.0, 224316, 2.0, 213460, 2.0, 204605, 2.0, 723, 2.0, 191876, 2.0, 126163, 2.0, 234621, 2.0, 126239, 2.0, 
174802, 170416, 2.0, 41002, 2.0, 128698, 2.0, 224316, 2.0, 213460, 2.0, 204605, 2.0, 723, 2.0, 191876, 2.0, 126163, 2.0, 234621, 2.0, 
160561, 136063, 2.0, 65244, 2.0, 174802, 2.0, 170416, 2.0, 41002, 2.0, 128698, 2.0, 224316, 2.0, 213460, 2.0, 204605, 2.0, 723, 2.0, 
241724, 27173, 1.0, 191231, 1.0, 160561, 1.0, 136063, 1.0, 65244, 1.0, 174802, 1.0, 170416, 1.0, 41002, 1.0, 128698, 1.0, 150999, 1.0, 
204496, 27173, 2.0, 191231, 2.0, 160561, 2.0, 136063, 2.0, 65244, 2.0, 174802, 2.0, 170416, 2.0, 41002, 2.0, 128698, 2.0, 224316, 2.0, 
175640, 27173, 4.0, 213460, 4.0, 126163, 4.0, 73439, 4.0, 31627, 4.0, 14996, 4.0, 40692, 4.0, 372, 4.0, 144733, 4.0, 144344, 4.0, 
128554, 128621, 2.0, 175640, 2.0, 204496, 2.0, 27173, 2.0, 191231, 2.0, 160561, 2.0, 136063, 2.0, 65244, 2.0, 174802, 2.0, 170416, 2.0, 
178892, 39683, 2.0, 128554, 2.0, 128621, 2.0, 175640, 2.0, 204496, 2.0, 27173, 2.0, 191231, 2.0, 160561, 2.0, 136063, 2.0, 65244, 2.0, 
247980, 178892, 2.0, 39683, 2.0, 128554, 2.0, 128621, 2.0, 175640, 2.0, 204496, 2.0, 27173, 2.0, 191231, 2.0, 160561, 2.0, 136063, 2.0, 
9609, 103185, 2.0, 247980, 2.0, 178892, 2.0, 39683, 2.0, 128554, 2.0, 128621, 2.0, 175640, 2.0, 204496, 2.0, 27173, 2.0, 191231, 2.0, 
197572, 9609, 2.0, 103185, 2.0, 247980, 2.0, 178892, 2.0, 39683, 2.0, 128554, 2.0, 128621, 2.0, 175640, 2.0, 204496, 2.0, 27173, 2.0, 
67178, 181521, 2.0, 197572, 2.0, 9609, 2.0, 103185, 2.0, 247980, 2.0, 178892, 2.0, 39683, 2.0, 128554, 2.0, 128621, 2.0, 175640, 2.0, 
249414, 67178, 1.0, 181521, 1.0, 197572, 1.0, 9609, 1.0, 103185, 1.0, 247980, 1.0, 178892, 1.0, 39683, 1.0, 128554, 1.0, 183394, 1.0, 
5772, 150312, 1.0, 249414, 1.0, 67178, 1.0, 181521, 1.0, 197572, 1.0, 9609, 1.0, 103185, 1.0, 247980, 1.0, 178892, 1.0, 39683, 1.0, 
221318, 150312, 2.0, 67178, 2.0, 181521, 2.0, 197572, 2.0, 9609, 2.0, 103185, 2.0, 247980, 2.0, 178892, 2.0, 39683, 2.0, 128554, 2.0, 
244654, 221318, 2.0, 150312, 2.0, 67178, 2.0, 181521, 2.0, 197572, 2.0, 9609, 2.0, 103185, 2.0, 247980, 2.0, 178892, 2.0, 39683, 2.0, 
47082, 244654, 1.0, 221318, 1.0, 5772, 1.0, 150312, 1.0, 249414, 1.0, 67178, 1.0, 181521, 1.0, 197572, 1.0, 9609, 1.0, 103185, 1.0, 
215471, 244654, 2.0, 221318, 2.0, 150312, 2.0, 67178, 2.0, 181521, 2.0, 197572, 2.0, 9609, 2.0, 103185, 2.0, 247980, 2.0, 178892, 2.0, 
176530, 103185, 3.0, 39683, 3.0, 128621, 3.0, 175640, 3.0, 27173, 3.0, 41002, 3.0, 213460, 3.0, 126163, 3.0, 126239, 3.0, 73439, 3.0, 
117915, 213893, 2.0, 82222, 2.0, 176530, 2.0, 178336, 2.0, 215471, 2.0, 244654, 2.0, 221318, 2.0, 150312, 2.0, 67178, 2.0, 181521, 2.0, 
189294, 117915, 2.0, 213893, 2.0, 82222, 2.0, 176530, 2.0, 178336, 2.0, 215471, 2.0, 244654, 2.0, 221318, 2.0, 150312, 2.0, 67178, 2.0, 
196340, 82222, 4.0, 39683, 4.0, 128621, 4.0, 175640, 4.0, 27173, 4.0, 213460, 4.0, 126163, 4.0, 73439, 4.0, 31627, 4.0, 14996, 4.0, 
264637, 196340, 2.0, 189294, 2.0, 117915, 2.0, 213893, 2.0, 82222, 2.0, 176530, 2.0, 178336, 2.0, 215471, 2.0, 244654, 2.0, 221318, 2.0, 
638, 264637, 2.0, 196340, 2.0, 189294, 2.0, 117915, 2.0, 213893, 2.0, 82222, 2.0, 176530, 2.0, 178336, 2.0, 215471, 2.0, 244654, 2.0, 
144826, 196340, 3.0, 82222, 3.0, 176530, 3.0, 103185, 3.0, 39683, 3.0, 128621, 3.0, 175640, 3.0, 27173, 3.0, 41002, 3.0, 213460, 3.0, 
212765, 178336, 3.0, 27173, 3.0, 224316, 3.0, 191876, 3.0, 42215, 3.0, 145189, 3.0, 131325, 3.0, 31627, 3.0, 14996, 3.0, 167791, 3.0, 
36648, 212765, 2.0, 144826, 2.0, 176189, 2.0, 638, 2.0, 264637, 2.0, 196340, 2.0, 189294, 2.0, 117915, 2.0, 213893, 2.0, 82222, 2.0, 
251053, 36648, 2.0, 212765, 2.0, 144826, 2.0, 176189, 2.0, 638, 2.0, 264637, 2.0, 196340, 2.0, 189294, 2.0, 117915, 2.0, 213893, 2.0, 
203664, 251053, 1.0, 36648, 1.0, 212765, 1.0, 144826, 1.0, 176189, 1.0, 638, 1.0, 264637, 1.0, 196340, 1.0, 189294, 1.0, 117915, 1.0, 
216497, 251053, 2.0, 36648, 2.0, 212765, 2.0, 144826, 2.0, 176189, 2.0, 638, 2.0, 264637, 2.0, 196340, 2.0, 189294, 2.0, 117915, 2.0, 
194789, 187104, 1.0, 180263, 1.0, 172818, 1.0, 155987, 1.0, 180341, 1.0, 175307, 1.0, 98315, 1.0, 43868, 1.0, 191189, 1.0, 241451, 1.0, 
196421, 241451, 1.0, 191189, 1.0, 43868, 1.0, 98315, 1.0, 175307, 1.0, 180341, 1.0, 155987, 1.0, 172818, 1.0, 180263, 1.0, 187104, 1.0, 
212139, 196421, 1.0, 241451, 1.0, 191189, 1.0, 43868, 1.0, 98315, 1.0, 175307, 1.0, 180341, 1.0, 155987, 1.0, 172818, 1.0, 180263, 1.0, 
111105, 203740, 1.0, 1315, 1.0, 218417, 1.0, 212139, 1.0, 196421, 1.0, 241451, 1.0, 191189, 1.0, 43868, 1.0, 98315, 1.0, 175307, 1.0, 
233960, 40760, 1.0, 158973, 1.0, 154458, 1.0, 90419, 1.0, 119890, 1.0, 31260, 1.0, 111105, 1.0, 203740, 1.0, 1315, 1.0, 218417, 1.0, 
257047, 234487, 1.0, 48726, 1.0, 233960, 1.0, 40760, 1.0, 158973, 1.0, 154458, 1.0, 90419, 1.0, 119890, 1.0, 31260, 1.0, 111105, 1.0, 
17450, 41933, 1.0, 236457, 1.0, 140934, 1.0, 159508, 1.0, 178007, 1.0, 124742, 1.0, 185343, 1.0, 137408, 1.0, 257047, 1.0, 234487, 1.0, 
209221, 183231, 1.0, 176544, 1.0, 171663, 1.0, 194230, 1.0, 149241, 1.0, 167400, 1.0, 145553, 1.0, 69789, 1.0, 92643, 1.0, 168609, 1.0, 
233956, 230802, 1.0, 209221, 1.0, 183231, 1.0, 176544, 1.0, 171663, 1.0, 194230, 1.0, 149241, 1.0, 167400, 1.0, 145553, 1.0, 69789, 1.0, 
128666, 233956, 1.0, 230802, 1.0, 209221, 1.0, 183231, 1.0, 176544, 1.0, 171663, 1.0, 194230, 1.0, 149241, 1.0, 167400, 1.0, 145553, 1.0, 
123123, 154301, 1.0, 127129, 1.0, 167513, 1.0, 219513, 1.0, 128666, 1.0, 233956, 1.0, 230802, 1.0, 209221, 1.0, 183231, 1.0, 176544, 1.0, 
67492, 146439, 1.0, 123123, 1.0, 154301, 1.0, 127129, 1.0, 167513, 1.0, 219513, 1.0, 128666, 1.0, 233956, 1.0, 230802, 1.0, 209221, 1.0, 
19591, 171233, 1.0, 34219, 1.0, 168681, 1.0, 139897, 1.0, 175763, 1.0, 67492, 1.0, 146439, 1.0, 123123, 1.0, 154301, 1.0, 127129, 1.0, 
980, 11, 2.0, 9446, 2.0, 180593, 2.0, 34219, 2.0, 230802, 2.0, 69789, 2.0, 41933, 2.0, 159508, 2.0, 185343, 2.0, 48726, 2.0, 
1494, 980, 2.0, 11, 2.0, 9446, 2.0, 180593, 2.0, 34219, 2.0, 230802, 2.0, 69789, 2.0, 41933, 2.0, 159508, 2.0, 185343, 2.0, 
154905, 127060, 1.0, 1494, 1.0, 980, 1.0, 11, 1.0, 140933, 1.0, 9446, 1.0, 244331, 1.0, 180593, 1.0, 206504, 1.0, 90137, 1.0, 
166504, 136888, 1.0, 43528, 1.0, 173441, 1.0, 59959, 1.0, 154905, 1.0, 127060, 1.0, 1494, 1.0, 980, 1.0, 11, 1.0, 140933, 1.0, 
191540, 171499, 1.0, 172081, 1.0, 181260, 1.0, 144592, 1.0, 154678, 1.0, 166504, 1.0, 136888, 1.0, 43528, 1.0, 173441, 1.0, 59959, 1.0, 
231967, 191540, 1.0, 171499, 1.0, 172081, 1.0, 181260, 1.0, 144592, 1.0, 154678, 1.0, 166504, 1.0, 136888, 1.0, 43528, 1.0, 173441, 1.0, 
211966, 153938, 1.0, 231967, 1.0, 191540, 1.0, 171499, 1.0, 172081, 1.0, 181260, 1.0, 144592, 1.0, 154678, 1.0, 166504, 1.0, 136888, 1.0, 
89952, 822, 1.0, 159503, 1.0, 205046, 1.0, 211966, 1.0, 153938, 1.0, 231967, 1.0, 191540, 1.0, 171499, 1.0, 172081, 1.0, 181260, 1.0, 
34615, 822, 2.0, 172081, 2.0, 144592, 2.0, 154678, 2.0, 136888, 2.0, 43528, 2.0, 127060, 2.0, 1494, 2.0, 980, 2.0, 11, 2.0, 
2591, 7717, 2.0, 34615, 2.0, 822, 2.0, 172081, 2.0, 144592, 2.0, 154678, 2.0, 136888, 2.0, 43528, 2.0, 127060, 2.0, 1494, 2.0, 
118615, 12902, 2.0, 2591, 2.0, 7717, 2.0, 34615, 2.0, 822, 2.0, 172081, 2.0, 144592, 2.0, 154678, 2.0, 136888, 2.0, 43528, 2.0, 
5405, 4390, 3.0, 12902, 3.0, 7717, 3.0, 822, 3.0, 9446, 3.0, 34219, 3.0, 230802, 3.0, 31260, 3.0, 2993, 3.0, 39938, 3.0, 
118619, 5405, 1.0, 163370, 1.0, 4390, 1.0, 118615, 1.0, 12902, 1.0, 2591, 1.0, 7717, 1.0, 206940, 1.0, 131014, 1.0, 34615, 1.0, 
149901, 147303, 1.0, 118619, 1.0, 5405, 1.0, 163370, 1.0, 4390, 1.0, 118615, 1.0, 12902, 1.0, 2591, 1.0, 7717, 1.0, 206940, 1.0, 
2993, 5405, 3.0, 4390, 3.0, 12902, 3.0, 7717, 3.0, 822, 3.0, 9446, 3.0, 34219, 3.0, 230802, 3.0, 31260, 3.0, 39938, 3.0, 
191977, 84876, 3.0, 822, 3.0, 11, 3.0, 34219, 3.0, 230802, 3.0, 69789, 3.0, 172818, 3.0, 180263, 3.0, 155426, 3.0, 209685, 3.0, 
218103, 201808, 3.0, 822, 3.0, 31260, 3.0, 113294, 3.0, 31481, 3.0, 24480, 3.0, 27162, 3.0, 50, 3.0, 10630, 3.0, 25554, 3.0, 
245377, 218103, 2.0, 233371, 2.0, 201808, 2.0, 172287, 2.0, 155426, 2.0, 232988, 2.0, 84876, 2.0, 245934, 2.0, 822, 2.0, 144592, 2.0, 
100527, 36932, 1.0, 245377, 1.0, 218103, 1.0, 233371, 1.0, 201808, 1.0, 233961, 1.0, 169318, 1.0, 133528, 1.0, 554, 1.0, 815, 1.0, 
39206, 100527, 1.0, 36932, 1.0, 245377, 1.0, 218103, 1.0, 233371, 1.0, 201808, 1.0, 233961, 1.0, 169318, 1.0, 133528, 1.0, 554, 1.0, 
263983, 230424, 1.0, 187653, 1.0, 194100, 1.0, 98351, 1.0, 147151, 1.0, 160010, 1.0, 5782, 1.0, 245638, 1.0, 178900, 1.0, 39206, 1.0, 
18736, 263983, 1.0, 230424, 1.0, 187653, 1.0, 194100, 1.0, 98351, 1.0, 147151, 1.0, 160010, 1.0, 5782, 1.0, 245638, 1.0, 178900, 1.0, 
29263, 18736, 1.0, 263983, 1.0, 230424, 1.0, 187653, 1.0, 194100, 1.0, 98351, 1.0, 147151, 1.0, 160010, 1.0, 5782, 1.0, 245638, 1.0, 
179303, 29263, 1.0, 18736, 1.0, 263983, 1.0, 230424, 1.0, 187653, 1.0, 194100, 1.0, 98351, 1.0, 147151, 1.0, 160010, 1.0, 5782, 1.0, 
31, 176165, 1.0, 194553, 1.0, 137330, 1.0, 179303, 1.0, 29263, 1.0, 18736, 1.0, 263983, 1.0, 230424, 1.0, 187653, 1.0, 194100, 1.0, 
128445, 31, 1.0, 176165, 1.0, 194553, 1.0, 137330, 1.0, 179303, 1.0, 29263, 1.0, 18736, 1.0, 263983, 1.0, 230424, 1.0, 187653, 1.0, 
174152, 150376, 1.0, 192802, 1.0, 174192, 1.0, 128445, 1.0, 31, 1.0, 176165, 1.0, 194553, 1.0, 137330, 1.0, 179303, 1.0, 29263, 1.0, 
183571, 169654, 1.0, 225694, 1.0, 174152, 1.0, 150376, 1.0, 192802, 1.0, 174192, 1.0, 128445, 1.0, 31, 1.0, 176165, 1.0, 194553, 1.0, 
154600, 137842, 1.0, 104162, 1.0, 183571, 1.0, 169654, 1.0, 225694, 1.0, 174152, 1.0, 150376, 1.0, 192802, 1.0, 174192, 1.0, 128445, 1.0, 
55660, 39856, 3.0, 84876, 3.0, 245934, 3.0, 144592, 3.0, 156189, 3.0, 92828, 3.0, 157354, 3.0, 171623, 3.0, 176494, 3.0, 181304, 3.0, 
119657, 55660, 2.0, 39856, 2.0, 245638, 2.0, 245377, 2.0, 218103, 2.0, 233371, 2.0, 201808, 2.0, 172287, 2.0, 155426, 2.0, 232988, 2.0, 
145325, 119657, 2.0, 55660, 2.0, 39856, 2.0, 245638, 2.0, 245377, 2.0, 218103, 2.0, 233371, 2.0, 201808, 2.0, 172287, 2.0, 155426, 2.0, 
156189, 55660, 3.0, 39856, 3.0, 84876, 3.0, 245934, 3.0, 144592, 3.0, 92828, 3.0, 157354, 3.0, 171623, 3.0, 176494, 3.0, 181304, 3.0, 
174090, 156189, 2.0, 145325, 2.0, 119657, 2.0, 55660, 2.0, 39856, 2.0, 245638, 2.0, 245377, 2.0, 218103, 2.0, 233371, 2.0, 201808, 2.0, 
169639, 174090, 1.0, 156189, 1.0, 145325, 1.0, 119657, 1.0, 55660, 1.0, 39856, 1.0, 91312, 1.0, 171669, 1.0, 17329, 1.0, 194594, 1.0, 
234553, 169639, 1.0, 174090, 1.0, 156189, 1.0, 145325, 1.0, 119657, 1.0, 55660, 1.0, 39856, 1.0, 91312, 1.0, 171669, 1.0, 17329, 1.0, 
243310, 234553, 1.0, 169639, 1.0, 174090, 1.0, 156189, 1.0, 145325, 1.0, 119657, 1.0, 55660, 1.0, 39856, 1.0, 91312, 1.0, 171669, 1.0, 
205761, 92828, 2.0, 174090, 2.0, 156189, 2.0, 145325, 2.0, 119657, 2.0, 55660, 2.0, 39856, 2.0, 245638, 2.0, 245377, 2.0, 218103, 2.0, 
171915, 36218, 2.0, 39856, 2.0, 17329, 2.0, 225694, 2.0, 176165, 2.0, 245638, 2.0, 178900, 2.0, 233371, 2.0, 554, 2.0, 815, 2.0, 
66098, 36218, 3.0, 17329, 3.0, 27364, 3.0, 39938, 3.0, 2993, 3.0, 5405, 3.0, 4390, 3.0, 12902, 3.0, 7717, 3.0, 822, 3.0, 
66682, 66098, 2.0, 171915, 2.0, 36218, 2.0, 39856, 2.0, 17329, 2.0, 225694, 2.0, 176165, 2.0, 245638, 2.0, 178900, 2.0, 233371, 2.0, 
160943, 51811, 1.0, 66682, 1.0, 66098, 1.0, 171915, 1.0, 36218, 1.0, 244994, 1.0, 205761, 1.0, 92828, 1.0, 243310, 1.0, 234553, 1.0, 
188021, 205790, 1.0, 160943, 1.0, 51811, 1.0, 66682, 1.0, 66098, 1.0, 171915, 1.0, 36218, 1.0, 244994, 1.0, 205761, 1.0, 92828, 1.0, 
129459, 226501, 1.0, 158243, 1.0, 232219, 1.0, 215311, 1.0, 188021, 1.0, 205790, 1.0, 160943, 1.0, 51811, 1.0, 66682, 1.0, 66098, 1.0, 
144525, 42124, 1.0, 138788, 1.0, 97207, 1.0, 45315, 1.0, 209660, 1.0, 129459, 1.0, 226501, 1.0, 158243, 1.0, 232219, 1.0, 215311, 1.0, 
147712, 124668, 1.0, 144525, 1.0, 42124, 1.0, 138788, 1.0, 97207, 1.0, 45315, 1.0, 209660, 1.0, 129459, 1.0, 226501, 1.0, 158243, 1.0, 
207320, 147712, 1.0, 124668, 1.0, 144525, 1.0, 42124, 1.0, 138788, 1.0, 97207, 1.0, 45315, 1.0, 209660, 1.0, 129459, 1.0, 226501, 1.0, 
178046, 207320, 1.0, 147712, 1.0, 124668, 1.0, 144525, 1.0, 42124, 1.0, 138788, 1.0, 97207, 1.0, 45315, 1.0, 209660, 1.0, 129459, 1.0, 
154904, 178046, 1.0, 207320, 1.0, 147712, 1.0, 124668, 1.0, 144525, 1.0, 42124, 1.0, 138788, 1.0, 97207, 1.0, 45315, 1.0, 209660, 1.0, 
142326, 72125, 1.0, 154904, 1.0, 178046, 1.0, 207320, 1.0, 147712, 1.0, 124668, 1.0, 144525, 1.0, 42124, 1.0, 138788, 1.0, 97207, 1.0, 
177197, 138788, 2.0, 45315, 2.0, 51811, 2.0, 66682, 2.0, 66098, 2.0, 171915, 2.0, 36218, 2.0, 39856, 2.0, 17329, 2.0, 225694, 2.0, 
220913, 146021, 1.0, 166679, 1.0, 100423, 1.0, 177197, 1.0, 142326, 1.0, 72125, 1.0, 154904, 1.0, 178046, 1.0, 207320, 1.0, 147712, 1.0, 
154842, 220913, 1.0, 146021, 1.0, 166679, 1.0, 100423, 1.0, 177197, 1.0, 142326, 1.0, 72125, 1.0, 154904, 1.0, 178046, 1.0, 207320, 1.0, 
164167, 154842, 1.0, 220913, 1.0, 146021, 1.0, 166679, 1.0, 100423, 1.0, 177197, 1.0, 142326, 1.0, 72125, 1.0, 154904, 1.0, 178046, 1.0, 
197586, 164167, 1.0, 154842, 1.0, 220913, 1.0, 146021, 1.0, 166679, 1.0, 100423, 1.0, 177197, 1.0, 142326, 1.0, 72125, 1.0, 154904, 1.0, 
177182, 197586, 1.0, 164167, 1.0, 154842, 1.0, 220913, 1.0, 146021, 1.0, 166679, 1.0, 100423, 1.0, 177197, 1.0, 142326, 1.0, 72125, 1.0, 
206206, 127312, 1.0, 33160, 1.0, 68425, 1.0, 163968, 1.0, 177182, 1.0, 197586, 1.0, 164167, 1.0, 154842, 1.0, 220913, 1.0, 146021, 1.0, 
23258, 203420, 1.0, 133848, 1.0, 42, 1.0, 206718, 1.0, 113294, 1.0, 206206, 1.0, 127312, 1.0, 33160, 1.0, 68425, 1.0, 163968, 1.0, 
73655, 23258, 1.0, 203420, 1.0, 133848, 1.0, 42, 1.0, 206718, 1.0, 113294, 1.0, 206206, 1.0, 127312, 1.0, 33160, 1.0, 68425, 1.0, 
140125, 135779, 1.0, 13823, 1.0, 183284, 1.0, 71074, 1.0, 73655, 1.0, 23258, 1.0, 203420, 1.0, 133848, 1.0, 42, 1.0, 206718, 1.0, 
81453, 140125, 1.0, 135779, 1.0, 13823, 1.0, 183284, 1.0, 71074, 1.0, 73655, 1.0, 23258, 1.0, 203420, 1.0, 133848, 1.0, 42, 1.0, 
125046, 81453, 1.0, 140125, 1.0, 135779, 1.0, 13823, 1.0, 183284, 1.0, 71074, 1.0, 73655, 1.0, 23258, 1.0, 203420, 1.0, 133848, 1.0, 
232265, 223950, 1.0, 125046, 1.0, 81453, 1.0, 140125, 1.0, 135779, 1.0, 13823, 1.0, 183284, 1.0, 71074, 1.0, 73655, 1.0, 23258, 1.0, 
192455, 135779, 2.0, 13823, 2.0, 203420, 2.0, 113294, 2.0, 68425, 2.0, 163968, 2.0, 100423, 2.0, 72125, 2.0, 138788, 2.0, 36218, 2.0, 
199310, 157354, 1.0, 176677, 1.0, 192455, 1.0, 75449, 1.0, 138161, 1.0, 160744, 1.0, 223040, 1.0, 232265, 1.0, 223950, 1.0, 125046, 1.0, 
176234, 199310, 1.0, 157354, 1.0, 176677, 1.0, 192455, 1.0, 75449, 1.0, 138161, 1.0, 160744, 1.0, 223040, 1.0, 232265, 1.0, 223950, 1.0, 
207016, 169124, 1.0, 15511, 1.0, 176234, 1.0, 199310, 1.0, 157354, 1.0, 176677, 1.0, 192455, 1.0, 75449, 1.0, 138161, 1.0, 160744, 1.0, 
146221, 175155, 1.0, 136063, 1.0, 246316, 1.0, 168679, 1.0, 207016, 1.0, 169124, 1.0, 15511, 1.0, 176234, 1.0, 199310, 1.0, 157354, 1.0, 
182027, 31481, 1.0, 220308, 1.0, 122298, 1.0, 197443, 1.0, 221965, 1.0, 80979, 1.0, 146221, 1.0, 175155, 1.0, 136063, 1.0, 246316, 1.0, 
129293, 173090, 1.0, 180602, 1.0, 205610, 1.0, 182027, 1.0, 31481, 1.0, 220308, 1.0, 122298, 1.0, 197443, 1.0, 221965, 1.0, 80979, 1.0, 
146312, 31481, 2.0, 221965, 2.0, 168679, 2.0, 169124, 2.0, 157354, 2.0, 192455, 2.0, 135779, 2.0, 13823, 2.0, 203420, 2.0, 113294, 2.0, 
144526, 143693, 1.0, 527, 1.0, 128271, 1.0, 37046, 1.0, 146312, 1.0, 129293, 1.0, 173090, 1.0, 180602, 1.0, 205610, 1.0, 182027, 1.0, 
230542, 143515, 1.0, 66362, 1.0, 144526, 1.0, 143693, 1.0, 527, 1.0, 128271, 1.0, 37046, 1.0, 146312, 1.0, 129293, 1.0, 173090, 1.0, 
194562, 171668, 1.0, 168054, 1.0, 151247, 1.0, 193738, 1.0, 146886, 1.0, 182874, 1.0, 154086, 1.0, 230542, 1.0, 143515, 1.0, 66362, 1.0, 
163931, 194562, 1.0, 171668, 1.0, 168054, 1.0, 151247, 1.0, 193738, 1.0, 146886, 1.0, 182874, 1.0, 154086, 1.0, 230542, 1.0, 143515, 1.0, 
119899, 102898, 1.0, 250458, 1.0, 163931, 1.0, 194562, 1.0, 171668, 1.0, 168054, 1.0, 151247, 1.0, 193738, 1.0, 146886, 1.0, 182874, 1.0, 
177727, 19100, 1.0, 119899, 1.0, 102898, 1.0, 250458, 1.0, 163931, 1.0, 194562, 1.0, 171668, 1.0, 168054, 1.0, 151247, 1.0, 193738, 1.0, 
165662, 223750, 1.0, 155969, 1.0, 197320, 1.0, 158600, 1.0, 177727, 1.0, 19100, 1.0, 119899, 1.0, 102898, 1.0, 250458, 1.0, 163931, 1.0, 
162591, 198994, 1.0, 195314, 1.0, 103092, 1.0, 176980, 1.0, 131904, 1.0, 106217, 1.0, 165662, 1.0, 223750, 1.0, 155969, 1.0, 197320, 1.0, 
207336, 174078, 1.0, 180471, 1.0, 194523, 1.0, 176083, 1.0, 182120, 1.0, 254591, 1.0, 53093, 1.0, 162591, 1.0, 198994, 1.0, 195314, 1.0, 
39080, 9509, 1.0, 119788, 1.0, 216070, 1.0, 203780, 1.0, 207336, 1.0, 174078, 1.0, 180471, 1.0, 194523, 1.0, 176083, 1.0, 182120, 1.0, 
6608, 823, 1.0, 154203, 1.0, 218804, 1.0, 244995, 1.0, 130680, 1.0, 177478, 1.0, 39080, 1.0, 9509, 1.0, 119788, 1.0, 216070, 1.0, 
133405, 2653, 1.0, 235627, 1.0, 206051, 1.0, 171623, 1.0, 6608, 1.0, 823, 1.0, 154203, 1.0, 218804, 1.0, 244995, 1.0, 130680, 1.0, 
