Id, Name, Year, MinPlayers, MaxPlayers, MinPlayTime, MaxPlayTime, PlayingTime, NumOwned, Age,
152230, Argent: Mancers of the University, 2015, 2, 6, 60, 180, 180, 1739, -1, 
37919, Ascending Empires, 2011, 2, 4, 75, 75, 75, 1810, -1, 
249086, Auf den Spuren von Marco Polo: Die Geheimwege des Marco Polo, 2018, 2, 4, 40, 100, 100, 934, -1, 
760, Battle Line, 2014, 2, 2, 30, 30, 30, 17009, -1, 
166001, Battlelore (Seconde Édition): La Horde de Scorn, 2015, 2, 2, 90, 90, 90, 2021, -1, 
166000, Battlelore (Seconde Édition): Les Gardiens d'Hernfar, 2017, 2, 2, 90, 90, 90, 2017, -1, 
126995, Belfort: Guild Promo Pack #1, 2012, 2, 5, 120, 120, 120, 1797, -1, 
141320, Belfort: The Expansion Expansion, 2013, 2, 5, 90, 90, 90, 1785, -1, 
16395, Blokus Duo, 2005, 2, 2, 15, 15, 15, 6553, -1, 
149712, Bora Bora: Orange God Tiles, 2013, 2, 4, 60, 60, 60, 1352, -1, 
110926, The Castles of Burgundy: 1st Expansion – New Player Boards, 2011, 2, 4, 90, 90, 90, 2836, -1, 
150083, The Castles of Burgundy: 4th Expansion – Monastery Boards, 2013, 2, 4, 30, 30, 30, 3449, -1, 
166589, The Castles of Burgundy: 5th Expansion – Pleasure Garden, 2014, 2, 4, 90, 90, 90, 2937, -1, 
174296, Castles of Mad King Ludwig: Secrets, 2015, 1, 4, 45, 90, 90, 5401, -1, 
206491, Celestia: A Little Help, 2016, 2, 6, 30, 30, 30, 2028, -1, 
255258, Champions of Midgard: Gullinkambi Public Boat Promo, 2018, 2, 4, 60, 90, 90, 129, -1, 
245646, Champions of Midgard: Jarl Edition, 2017, 2, 5, 60, 90, 90, 600, -1, 
203464, Champions of Midgard: Odin's Trial Promo Card, 2015, 2, 4, -1, -1, -1, 832, -1, 
207105, Champions of Midgard: SeeZam Promo Card, 2016, 2, 4, 60, 90, 90, 1175, -1, 
194794, Champions of Midgard: Virtue Promo Card, 2015, 2, 4, 45, 90, 90, 998, -1, 
257276, Clank! Expeditions: Gold and Silk, 2018, 2, 4, 30, 60, 60, 1518, -1, 
254470, Clank! In! Space! Apocalypse!, 2018, 2, 4, 45, 90, 90, 1672, -1, 
22605, Commands & Colors: Ancients Expansion Pack #1 – Greece & Eastern Kingdoms, 2006, 2, 2, 60, 60, 60, 3185, -1, 
24089, Commands & Colors: Ancients Expansion Pack #2 – Rome and the Barbarians, 2007, 2, 2, 60, 60, 60, 2117, -1, 
29853, Commands & Colors: Ancients Expansion Pack #3 – The Roman Civil Wars, 2007, 2, 2, 60, 60, 60, 1879, -1, 
38928, Commands & Colors: Ancients Expansion Pack #4 – Imperial Rome, 2009, 2, -1, 60, 60, 60, 1705, -1, 
38927, Commands & Colors: Ancients Expansion Pack #5 – Epic Ancients II, 2009, 2, 8, 60, 60, 60, 1278, -1, 
88853, Commands & Colors: Ancients Expansion Pack #6 – The Spartan Army, 2011, 2, 2, 60, 60, 60, 1429, -1, 
169521, Commands & Colors: Ancients Expansions #2 and #3 – Rome vs the Barbarians; The Roman Civil Wars, 2014, 2, 2, -1, -1, -1, 789, -1, 
85768, Commands & Colors: Napoleonics Expansion #1 – The Spanish Army, 2011, 2, 2, 90, 90, 90, 1325, -1, 
112068, Commands & Colors: Napoleonics Expansion #2 – The Russian Army, 2014, 2, 2, 60, 60, 60, 1242, -1, 
112066, Commands & Colors: Napoleonics Expansion #3 – The Austrian Army, 2013, 2, 2, 90, 90, 90, 1164, -1, 
112067, Commands & Colors: Napoleonics Expansion #4 – The Prussian Army, 2014, 2, 2, 90, 90, 90, 932, -1, 
188188, Complots, 2013, 2, 8, 15, 15, 15, 641, -1, 
204803, Complots 2, 2016, 2, 8, 15, 15, 15, 210, -1, 
188189, Complots: Saint Barthélemy, 2014, 2, 8, 15, 15, 15, 159, -1, 
209574, Concordia: 8 Forum Cards mini-expansion, 2016, 2, 5, 60, -1, 60, 1758, -1, 
232917, Concordia: Aegyptus / Creta, 2017, 2, 5, 60, 120, 120, 2310, -1, 
165023, Concordia: Britannia / Germania, 2015, 2, 5, 100, 100, 100, 4620, -1, 
208364, Concordia: Gallia / Corsica, 2016, 2, 5, -1, -1, -1, 2826, -1, 
181084, Concordia: Salsa, 2016, 2, 5, 90, 90, 90, 6491, -1, 
15954, Conquest of Paradise, 2016, 1, 4, 90, 90, 90, 2335, -1, 
8552, Corsari, 2003, 2, 4, 30, 30, 30, 1269, -1, 
114276, Cosmic Encounter: Cosmic Alliance, 2012, 3, 8, 60, 60, 60, 5338, -1, 
87507, Cosmic Encounter: Cosmic Conflict, 2011, 3, 7, 60, 60, 60, 6712, -1, 
153971, Cosmic Encounter: Cosmic Dominion, 2014, 3, 5, 60, 60, 60, 4854, -1, 
206366, Cosmic Encounter: Cosmic Eons, 2016, 3, 8, 60, 120, 120, 1924, -1, 
143760, Cosmic Encounter: Cosmic Storm, 2013, 3, 8, 60, 60, 60, 3887, -1, 
210697, Cry Havoc: Aftermath, 2017, -1, -1, -1, -1, -1, 1079, -1, 
211164, Cry Havoc: New Orders, 2016, 2, 4, -1, -1, -1, 573, -1, 
101785, D-Day Dice, 2012, 1, 4, 45, 45, 45, 4878, -1, 
65532, Defenders of the Realm, 2010, 1, 4, 90, 90, 90, 6416, -1, 
17226, Descent: Journeys in the Dark, 2005, 2, 5, 120, 240, 240, 13035, -1, 
